live_url,live_path,demo_path,section,slug,title,in_sitemap,in_scrape,action,note
https://zorgtech.com/catalog/product/eco-kid-22/,/catalog/product/eco-kid-22/,/catalog/product/eco-kid-22,product,eco-kid-22,Eco Kid 22,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/eco-kid-32/,/catalog/product/eco-kid-32/,/catalog/product/eco-kid-32,product,eco-kid-32,Eco Kid 32,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-w-pay/,/catalog/product/diamant-32-w-pay/,/catalog/product/diamant-32-w-pay,product,diamant-32-w-pay,Diamant 32 W Pay,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-we-pay/,/catalog/product/diamant-32-we-pay/,/catalog/product/diamant-32-we-pay,product,diamant-32-we-pay,Diamant 32 WE Pay,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/mono-32-f-pin/,/catalog/product/mono-32-f-pin/,/catalog/product/mono-32-f-pin,product,mono-32-f-pin,Mono 32 F PIN,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
,,/catalog/product/novinka-1,product,novinka-1,Новинка 1,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
,,/catalog/product/novinka-2,product,novinka-2,Новинка 2,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
,,/catalog/product/novinka-3,product,novinka-3,Новинка 3,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
,,/catalog/product/novinka-4,product,novinka-4,Новинка 4,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
,,/catalog/product/novinka-5,product,novinka-5,Новинка 5,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
,,/catalog/product/novinka-6,product,novinka-6,Новинка 6,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
,,/catalog/product/novinka-7,product,novinka-7,Новинка 7,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
,,/catalog/product/novinka-8,product,novinka-8,Новинка 8,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
,,/catalog/product/novinka-9,product,novinka-9,Новинка 9,no,yes,new-in-demo,В живом Bitrix нет. Демо-путь /catalog/product/…
https://zorgtech.com/catalog/napolnye/,/catalog/napolnye/,/catalog/napolnye,category,napolnye,Напольные сенсорные терминалы,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/stoly/,/catalog/stoly/,/catalog/stoly,category,stoly,Сенсорные столы,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/nastennyy/,/catalog/nastennyy/,/catalog/nastennyy,category,nastennyy,Настенные сенсорные киоски,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/mono-napolnye/,/catalog/mono-napolnye/,/catalog/mono-napolnye,category,mono-napolnye,Сенсорные напольные киоски Mono,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/apriori/,/catalog/apriori/,/catalog/apriori,category,apriori,Напольные сенсорные киоски Apriori,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/ulichnye/,/catalog/ulichnye/,/catalog/ulichnye,category,ulichnye,Уличные сенсорные терминалы,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/avtokassy/,/catalog/avtokassy/,/catalog/avtokassy,category,avtokassy,Автокассы,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/dezinfektora-ruk/,/catalog/dezinfektora-ruk/,/catalog/dezinfektora-ruk,category,dezinfektora-ruk,Дезинфекторы рук,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/otraslevye/,/catalog/otraslevye/,/catalog/otraslevye,category,otraslevye,Отраслевые сенсорные киоски,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/detskie-stoliki/,/catalog/detskie-stoliki/,/catalog/detskie-stoliki,category,detskie-stoliki,Детские сенсорные интерактивные столы,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/catalog/kioski-samoobsluzhivaniya/,/catalog/kioski-samoobsluzhivaniya/,/catalog/kioski-samoobsluzhivaniya,category,kioski-samoobsluzhivaniya,Киоски самообслуживания,yes,yes,keep,Путь совпадает — на Bitrix оставить как есть
,,/catalog/novinki,category,novinki,Новинки,no,yes,new-in-demo,В живом Bitrix нет
https://zorgtech.com/catalog/unique/,/catalog/unique/,/catalog/unique,category,unique,unique,no,yes,keep,Путь совпадает — на Bitrix оставить как есть
https://zorgtech.com/realizovanye-proekty/avtomatizatsiya-avtovokzala-salarevo-dlya-mosgortransa/,/realizovanye-proekty/avtomatizatsiya-avtovokzala-salarevo-dlya-mosgortransa/,/realizovanye-proekty/avtomatizatsiya-avtovokzala-salarevo-dlya-mosgortransa,project,avtomatizatsiya-avtovokzala-salarevo-dlya-mosgortransa,"Автоматизация автовокзала ""Саларьево"" для Мосгортранса",yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
